"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"2655","PDGFA","PDGFRB",0.0033003300330033,"T cells",0.896551724137931,"SMCs","growth factor"
"23071","LAMB1","ITGA2",0.336206896551724,"SMCs",0.0088008800880088,"T cells","other"
"23096","LAMB1","ITGA3",0.336206896551724,"SMCs",0.0088008800880088,"T cells","other"
"3997","VEGFA","ITGB1",0.00862068965517241,"SMCs",0.342528735632184,"NK cells","growth factor"
"172100","ADAM12","ITGB1",0.00862068965517241,"SMCs",0.342528735632184,"NK cells","other"
"9947","COL4A6","ITGB1",0.00862068965517241,"SMCs",0.342528735632184,"NK cells","other"
"15197","FGG","ITGB1",0.00862068965517241,"SMCs",0.342528735632184,"NK cells","other"
"20772","ICAM4","ITGB1",0.00862068965517241,"SMCs",0.342528735632184,"NK cells","other"
"31222","RELN","ITGB1",0.00862068965517241,"SMCs",0.342528735632184,"NK cells","other"
"35147","SPP1","ITGB1",0.00862068965517241,"SMCs",0.342528735632184,"NK cells","other"
"38422","VTN","ITGB1",0.00862068965517241,"SMCs",0.342528735632184,"NK cells","other"
"20713","ICAM4","ITGAM",0.282352941176471,"VECs",0.0104575163398693,"VECs","other"
"184010","APOD","LEPR",0.171241830065359,"VECs",0.0172413793103448,"SMCs","other"
"21719","JAG1","NOTCH2",0.0338028169014084,"Fibroblasts",0.0873239436619718,"Fibroblasts","other"
"3816","TGFB3","TGFBR3",0.0788732394366197,"Fibroblasts",0.0374037403740374,"T cells","growth factor"
"8454","COL1A1","CD44",0.0044004400440044,"T cells",0.670422535211268,"Fibroblasts","other"
"8779","COL1A2","CD44",0.0044004400440044,"T cells",0.670422535211268,"Fibroblasts","other"
"3783","TGFB3","TGFBR2",0.00689655172413793,"NK cells",0.427450980392157,"VECs","growth factor"
"3914","VEGFA","GPC1",0.0522875816993464,"VECs",0.0563380281690141,"Fibroblasts","growth factor"
"21640","ITGB3BP","ITGB5",0.0379084967320261,"VECs",0.0775862068965517,"SMCs","other"
"146610","ANXA1","DYSF",2.67323943661972,"Fibroblasts",0.0011001100110011,"T cells","other"
"3464","TGFB1","ITGB8",0.149019607843137,"VECs",0.0197183098591549,"Fibroblasts","growth factor"
"18064","GPC3","CD81",0.00915032679738562,"VECs",0.32112676056338,"Fibroblasts","other"
"18124","GPI","AMFR",0.0948275862068965,"SMCs",0.0309859154929577,"Fibroblasts","other"
"37894","VCAM1","ITGB2",0.104225352112676,"Fibroblasts",0.028169014084507,"Fibroblasts","other"
