gene,GSM3290067,GSM3290068,GSM3290069,GSM3290070,GSM3290075,GSM3290077,GSM3290082,GSM3290084,GSM3290099,GSM3290103,GSM3290105,GSM3290107,GSM3290108,GSM3290109,GSM3290113,GSM3290116,GSM3290126,GSM3290127,GSM3290129,GSM3290136,GSM3290138,GSM3290140,GSM3290143,GSM3290148
GMIP,4.4491134,4.5179282,5.1501354,4.8788934,4.8231486,5.0045062,4.68709,4.7470688,5.3651328,4.7990256,4.781038,4.6297258,4.933429,5.4075116,5.1843096,4.7826518,4.650373,4.9304976,4.5212736,4.9104864,4.6166274,4.7068712,4.8000014,4.7624538
GPR171,4.602545,5.0041878,4.3617292,5.2062656,4.46961,5.5610054,4.5203094,4.6584492,5.8141578,4.419248,5.0539822,4.7819626,4.8483764,7.916945,7.0031212,4.6514312,5.7275276,5.1066314,4.208558,4.9603644,5.0175828,5.485709,4.4829596,4.4268224
LINC00339,4.97229,4.3477808,5.1612,4.6183412,4.7978782,4.9600954,4.9159746,4.7142332,5.6527966,5.465308,4.5437398,4.528114,4.5676348,5.7500316,4.7394176,4.5632268,4.1085436,4.363147,4.4334778,4.6015566,4.9734984,5.069506,4.95478,4.7408726
VAMP1,4.6792098,5.2838284,4.9839348,4.5475668,5.170545,4.7537284,5.1544662,4.6945686,5.220171,5.0814096,4.5236038,4.5152662,5.3168618,5.8343958,5.5570034,4.8682344,4.7832348,4.8139022,4.9032706,4.8942558,4.8402616,4.8535284,4.6789154,4.5122746
ANKRD22,4.216577,5.1049146,4.2483904,4.2330148,3.9912318,5.8181128,3.836898,4.0844956,5.5529964,4.4852876,5.3425964,6.3399562,4.874507,8.4917306,6.1429484,4.743265,6.2707858,7.1583801,3.8197799,4.6226222,5.4157984,5.636801,4.4477028,4.6908094
LILRB4,4.5305828,4.266269,4.3607248,4.4457496,4.4488604,4.4910722,4.6651266,4.542926,5.2832164,4.0621926,4.1100908,4.5635052,4.6660304,5.5915716,4.739919,5.0697916,4.4746962,4.5382128,4.6463114,4.2295908,4.717156,4.9508194,4.3594176,3.9862554
TAGAP,4.7151399,4.4488604,4.8313678,5.0091726,4.516883,4.6508606,4.9443498,5.0755132,5.8188832,4.4501078,4.4855312,4.5585218,5.3891394,6.2866324,5.5216862,5.9134306,4.4413846,5.1812508,4.4301496,4.6889258,4.5468172,4.9248832,4.620614,4.5132744
GZMA,5.3644902,4.5930958,5.402781,4.5962874,4.8195892,5.2236238,5.5751562,4.4670494,6.9093048,5.2786834,5.3698344,3.6681224,5.3021356,8.0812812,5.5944254,5.0013422,5.014634,4.3160112,5.4662994,5.078034,5.1394037,4.9648895,4.4390656,4.7606784
CUL9,4.521063,4.5505384,5.0772334,4.8859098,4.9321948,4.7990256,4.8028782,4.6992116,4.7587816,4.6269382,4.4336948,4.9124884,4.71257,5.2419188,4.8418858,5.0914192,4.6432542,4.825633,4.8751026,4.575721,4.5872424,5.1069496,4.8963774,5.175741
FAM231A,5.2140396,4.7236612,5.0039248,4.487055,4.6243686,4.642263,4.7630114,4.7173898,5.0169624,4.9748684,4.387394,4.1918286,4.9491796,5.9067022,4.8846096,4.525937,5.0860136,4.9843222,5.2981616,4.6704852,4.8361434,5.1615216,4.333117,4.497016
IKZF2,4.8886408,4.5497076,4.87577,4.6758524,4.9205704,4.8059594,5.1799562,4.582645,5.6004284,4.8644416,4.4949782,4.4607516,4.8634726,6.008069,5.4734128,5.1822228,4.534091,5.044928,4.8300872,4.9706696,4.3497708,4.6121582,4.7918576,4.7549102
KLRD1,5.228886,4.7356158,4.9364802,4.2956346,4.0662803,4.9984966,5.6879622,4.808834,6.9495402,4.8478344,4.7108618,4.0429974,4.5872424,7.882099,5.41368,4.049245,4.8785492,5.0691376,5.0615804,5.0841162,4.7681286,4.9533086,4.4684776,4.3833836
LOC642980,4.8322468,4.8893006,4.5705104,4.8457778,5.0198412,4.5663512,4.6274348,4.800326,4.4994462,4.8911938,4.7176766,4.9436078,4.6597584,4.5393614,4.4557762,4.8098908,4.9968308,4.739919,4.6087228,4.3044314,4.8540826,4.579273,5.1055778,4.8778824
UBD,5.1526274,4.5804482,4.6647734,4.5804482,4.7341002,4.6218592,4.7983706,4.8831408,5.7135426,4.7335856,4.7563712,5.138564,4.43668,6.4494974,6.1305948,5.2606302,5.2519286,6.1534154,4.5893868,4.434578,4.7347254,5.0022316,4.598014,4.729704
CD8A,4.6514312,4.290761,4.9434626,5.405856,4.2459258,4.861149,4.7056066,4.9133364,4.7726362,4.4862922,5.1622396,4.04521,5.0090666,8.137368,6.607965,5.0216758,4.7356158,4.6555698,4.7779402,4.4736502,4.0748508,4.703112,4.3939058,5.0932346
SP140,4.390578,4.573289,4.8276914,4.579273,4.615814,4.8325132,4.9391034,4.4885048,5.7651832,4.6373708,4.372233,4.5613428,5.1241654,6.3117052,6.3443606,5.584783,4.8034474,4.6743938,4.8969848,4.574749,4.4719328,4.8687492,4.8253574,4.7076804
