gene,GSM3290067,GSM3290068,GSM3290069,GSM3290070,GSM3290075,GSM3290077,GSM3290082,GSM3290084,GSM3290099,GSM3290103,GSM3290105,GSM3290107,GSM3290108,GSM3290109,GSM3290113,GSM3290116,GSM3290126,GSM3290127,GSM3290129,GSM3290136,GSM3290138,GSM3290140,GSM3290143,GSM3290148
PCNXL2,4.3950794,4.3034092,4.4768614,4.4547942,4.6323134,4.3191456,4.2576968,4.486012,4.7068712,4.6451962,4.154145,4.3552732,4.2981314,5.8317528,4.739097,4.5421976,4.5139958,4.3178284,4.5494396,4.5290962,4.2068894,4.6555698,4.528114,4.506488
H2AFY2,4.2414509,4.3695186,4.3328902,4.385854,4.3680444,4.3333262,4.7436066,4.4989304,4.7467918,4.3035658,4.4620522,4.3395914,4.3482402,4.7844464,4.6179748,4.8714253,4.4017876,4.4450432,4.1550466,4.1502198,4.2031112,4.8331374,4.585617,4.2991306
KLRC2,4.3761802,4.2989298,4.6992116,4.3513056,4.2418992,4.7524662,4.5459846,4.3624052,5.0877336,4.7147306,4.3638184,3.919334,4.375611,5.2391664,3.939597,4.2589514,4.3203714,4.396797,4.6819548,4.2692672,4.5497076,4.4325696,4.220159,4.5629984
SH2D1A,3.7088336,3.9496198,4.5221516,4.1364228,4.2209352,4.1258302,4.504574,4.5391312,5.7128944,4.3328902,3.7765612,3.54884,4.8228966,8.3774396,6.257099,5.5086288,4.8124288,3.807356,5.2680347,4.1253726,4.3814448,4.3793378,4.2911054,4.5081758
TBC1D31,4.1860996,4.0404976,4.5759878,4.3283902,4.138135,4.2293676,4.6954498,4.3358486,4.9467306,4.5290962,4.2123154,4.0790166,4.3078762,4.6732416,4.4978148,4.3138131,4.1958822,4.139955,4.3358486,4.572452,4.298331,4.6398644,4.2354214,4.6460296
RAP1GAP2,4.8240734,4.6683137,4.3691294,4.3635962,4.3201454,4.5288038,4.5797412,4.5021052,4.7486776,4.40901,4.4777606,4.3087016,4.9563038,3.8540092,4.0483076,4.5373794,4.4725669,4.3677004,4.7867356,4.451263,4.3619642,4.3518836,4.6970514,4.032796
MBP,4.5776402,4.221536,4.5985072,4.2364244,4.231773,4.308888,4.5815481,4.2301304,4.7530846,4.4323142,4.1756514,4.3780206,4.2498718,4.7819626,4.320834,4.3019102,4.2594024,4.2164952,4.7150006,4.2943114,4.383153,4.3160112,4.284918,4.3243
FAM72B,4.1002122,4.2883708,4.4951662,4.4194952,4.3942102,4.3574284,4.305742,4.0786992,4.5795042,4.4934768,4.384535,4.23809,4.352751,4.9174388,4.4190676,4.3766788,4.8328302,4.3299958,4.412013,4.3962584,4.3969732,4.636072,4.1908956,4.5074832
FAM78A,4.2850884,4.224497,4.5371006,3.8070244,4.1752978,4.6266918,5.0877336,4.3561388,4.6651266,4.4677744,3.9084524,4.3818734,4.5772242,5.7466812,4.7368408,4.3747364,4.1696628,3.95773,4.2618792,4.206486,4.3893682,4.2923392,4.1354964,4.2866738
TTC5,4.2170944,4.1403072,4.3795746,4.4392394,4.3666248,4.1079318,4.2647108,4.2939658,4.4658908,4.51355,4.4092316,4.2833462,4.4052888,4.8921378,4.4754182,4.2164952,4.2798214,4.500427,4.497532,4.5528928,4.1003812,4.5897212,4.5971308,4.498111
C16orf54,4.2804262,4.2722981,4.2875054,4.3098872,4.1471422,4.4305564,4.378211,4.3201454,4.6249492,4.193571,4.1386232,4.1631414,4.2800516,4.6631442,4.7003154,4.6538576,4.2790116,4.2625034,4.229803,4.4651774,4.1616424,3.9336412,4.1240596,4.3295176
HELLS,4.1209954,4.1473642,4.0925154,4.4431764,4.3372024,4.3971634,4.2547656,4.4079328,4.3063582,4.524665,4.0140398,4.1378972,4.2307262,4.9443498,4.553898,4.4468058,4.1347682,4.2289198,4.4050352,4.1524626,4.1393829,4.6454728,4.1308762,4.3227902
ITGB7,4.0387212,3.822661,4.4178864,4.6201032,4.1228134,4.0499126,4.540417,3.9931448,6.006809,4.4129838,4.021768,4.139955,4.5536588,5.4404474,5.556632,5.4208966,4.2761916,4.2140252,4.271113,4.0066592,4.0442272,4.3111258,4.3354386,4.2985298
RN7SL739P,4.257209,4.270872,4.1146482,4.34357,4.4425586,4.5371006,4.534594,4.2921086,4.9607644,4.3021232,4.2101826,4.142916,4.2862756,4.7356158,4.7420432,4.1924374,4.431359,4.4670494,4.0282648,4.3050976,4.8718468,4.462758,4.313492,4.4913568
CXorf57,4.2268754,4.2150488,4.0934458,4.0488572,4.3195402,4.2856918,4.1085436,4.9265158,4.9891918,4.0588862,4.3953622,4.0363656,4.3603372,5.2211698,4.5613428,4.2748974,4.7402844,4.2540992,4.1389626,4.3080752,4.4407188,4.4020642,4.2989298,4.337836
LOC100128816,4.0979154,3.883077,4.3513056,3.8882686,3.8907048,4.2474108,4.6454728,4.4951662,4.282524,4.2866738,4.6152926,4.2750956,4.41691,4.9321948,5.0142844,4.0693178,4.3764716,4.329026,4.3697436,3.9583036,4.013341,4.0679988,4.2281616,3.757561
SLC16A13,4.0936108,4.1284826,4.3603372,4.2172978,3.9405534,4.1781924,4.524142,4.1144914,4.4221088,4.51501,4.1411128,4.206681,4.2601,4.5762356,4.51116,4.4127004,4.3529848,4.0055846,4.3137144,4.1645816,4.0398386,4.169856,4.4117752,3.9293821
ANO9,4.3724584,4.0072678,4.2028428,4.3810072,4.3567686,4.0269444,4.3183306,4.2266748,4.3626868,4.2686178,4.0679144,4.2692672,4.3592398,4.8177308,4.8355598,4.4043688,4.2517368,4.2092686,4.2430162,4.2152326,4.092363,4.3174839,4.3646266,4.2594024
ARHGAP9,4.1465336,4.2511416,4.1838008,4.2002276,4.211566,4.0753606,4.607042,4.2065835,4.3731126,4.2347664,4.0843378,4.0465356,4.3109316,4.7210926,4.735031,4.2427548,4.1215904,4.14343,4.1522806,4.0764456,4.1732768,4.1347682,4.106703,4.4840848
RN7SL334P,4.6115584,3.8848514,4.1150314,3.816924,4.1274286,4.4395538,4.3231714,4.2927406,4.6264486,4.2766582,3.7385218,4.4015098,4.4857874,5.3382552,4.634307,4.30377,4.2035968,4.1787548,4.3880774,4.462758,4.213235,4.3312742,4.075773,4.3547676
CD5,3.9194436,4.144815,4.2766582,4.0378996,4.4905916,4.131407,4.2221192,4.520495,4.777661,4.2418992,4.4900674,4.2683894,4.311785,5.4187668,4.9665872,5.0067202,4.5579864,4.0264932,4.2573624,4.1526014,4.2569604,4.201435,4.2750956,4.504332
TBC1D10C,4.3158318,4.05339,4.9489985,4.2973296,4.292557,4.0759252,4.2332574,4.017368,4.418749,4.248632,4.1409204,4.1666126,4.4772494,5.2870334,5.0516738,4.2633468,4.143568,3.864003,4.3277796,4.2470078,4.1306664,4.2218238,4.3221608,4.415035
MSANTD3-TMEFF1,4.5081758,4.649036,4.7585174,4.2969918,4.0874182,4.5326074,4.454318,4.0277832,4.1337994,4.5719726,4.0880996,4.2581012,3.9405534,3.7443978,3.937318,4.3724584,4.257517,4.4443598,4.6307678,4.3358486,4.2492308,4.3581781,4.4017876,4.7222884
ARHGAP11B,4.2087402,4.299725,4.0105334,4.2365824,4.1526014,4.2702546,4.1776302,4.4050352,4.5739118,4.4211418,3.6433868,4.0255402,3.9528668,5.0444696,4.5415218,4.4477028,4.4817772,4.2411476,4.0065096,3.7724298,3.892449,4.3574284,3.8253538,4.06783
CD200R1,4.0208536,4.213235,4.1440924,4.266269,4.3339342,4.0075764,4.5449544,4.3914564,4.8654294,4.7010498,3.9070174,3.823631,4.004455,5.7877654,4.4949782,4.9863546,4.4390656,3.9961412,4.02642,4.0062128,3.8285604,4.4882994,4.1101874,4.8141622
DCLK2,4.3997982,4.2527606,4.0698658,4.3323964,4.6734796,4.1088377,4.769508,4.6039844,3.7730996,4.8600046,4.4181148,4.7465586,4.0712134,3.8742394,3.8367838,4.5606176,4.9026466,4.1911663,4.6876644,4.0131984,4.3918976,4.383153,4.5824468,4.5261568
CTLA4,4.1191014,4.3816632,3.821122,4.4991974,3.891707,4.1554618,4.056594,4.2257138,4.8415462,3.9476302,4.5697682,4.1752978,4.22251,6.505064,5.1553358,4.9364802,5.0381218,4.0620136,3.7550546,4.1237182,4.3685402,4.7216826,4.1209954,4.026251
DOK1,4.0821352,4.2182202,4.3772984,4.2229438,4.041793,4.0907166,4.4006744,4.3010088,4.7115152,4.1916578,4.1594004,4.3987014,4.2114072,4.480901,4.4334778,4.3076468,3.9989108,4.1666126,4.2921086,4.0475848,4.506488,4.229085,4.1539522,4.5767376
RTP4,4.5665932,3.9117392,4.4724692,4.0429974,3.9293108,4.3281768,4.3009119,4.4390656,4.9101698,4.4840848,3.9002712,4.2923392,4.013851,4.5186198,4.6468234,4.5953332,4.0590242,4.05764,4.5878194,4.0238376,4.1366252,4.3626868,4.2512374,4.155793
CAMK4,3.9526,3.9309752,3.8614884,4.300206,4.4102036,4.041625,4.2445493,4.418749,4.811086,4.5729406,4.3087016,3.945034,3.943723,6.555603,5.8174108,4.7234286,4.8911938,3.8780046,4.6174746,4.2993078,4.033487,4.5627342,4.1213668,3.9254602
ZNF221,4.0345182,4.4308596,4.3084692,4.4122416,4.295112,4.4661246,4.4230202,4.0753606,4.1807612,4.5300406,4.2395806,4.570051,4.6936972,3.895581,4.0786404,4.1021006,4.1964774,4.3006202,4.3046572,4.3795746,4.247645,4.271113,4.2095339,4.575721
TACC3,4.1614464,3.8534294,4.3065568,3.8960218,3.8721926,4.0148846,4.1944794,4.1337994,4.357229,3.9679892,4.2510539,3.9314944,4.0813908,4.4925204,4.3080752,4.2544858,4.1369668,4.0972646,4.1511164,4.1681488,4.2820516,4.0658134,4.1922494,4.2307262
FCHSD1,3.8108422,4.0086986,4.2083756,4.5899794,4.1768622,4.015532,4.4617234,4.3335692,4.372915,4.0499126,3.9314944,4.2969918,4.2656938,4.7411772,4.0998934,4.4234946,4.3067476,4.072608,4.289343,4.064791,4.1172882,4.3019102,4.289827,4.1702876
OGFOD2,4.1821552,4.0649946,4.322573,4.1736025,4.0339958,4.1956868,4.3259302,4.469395,4.1762322,4.2583488,3.9630694,3.9855454,4.2189342,4.6289118,4.2483904,4.2217352,4.092693,3.9993726,4.3257354,4.0683338,4.1131126,4.0884846,4.3263804,4.1258302
ZNF79,4.2030366,3.9364454,4.1990774,4.132149,3.9490123,3.8601608,4.1444902,4.1793584,4.475157,4.253635,4.019125,4.3695186,4.3229688,4.6716536,4.5361032,4.3320848,4.160556,4.1154506,4.1478572,4.3520778,4.1090902,4.4110422,4.1196896,4.0876064
MIR155HG,4.1413124,3.928538,3.8478146,4.429668,4.3023822,3.879413,3.8663812,3.9540422,4.7890914,3.9862554,4.157767,4.247257,4.3212876,4.8441748,4.4885048,4.1930786,4.01989,4.1599528,4.1598,4.1660206,4.1581384,4.1047356,4.067474,3.969942
CXCL13,4.0944656,4.085929,4.032634,4.4890202,3.8501544,3.9392912,4.1176276,4.0357404,4.4724692,3.8982168,3.7368348,3.5751296,4.2921086,8.2264414,6.9039502,4.7922873,3.9965536,3.9917034,3.3089176,3.6288968,5.42343,3.945323,3.8004324,3.8346632
DKFZP434I0714,4.2433462,4.047049,4.0731586,4.0052964,4.0791732,4.155977,4.2831496,4.1152326,4.5171862,4.2530154,4.0257324,4.208033,4.1015896,4.4072128,4.147498,4.2398056,3.9859338,4.0131984,4.2796034,4.095476,4.0500834,4.2351406,4.1418942,4.2319948
SKAP1,4.211566,3.8770888,4.2700288,4.2239212,4.0755764,4.0913066,4.434825,4.1456308,4.9949098,4.3231714,3.7443978,3.9602588,4.1489724,6.1649956,4.8297792,4.5310924,4.1260058,3.8573012,3.877463,4.0670034,3.935165,4.24935,3.9841638,4.0260148
DEF6,4.0204164,3.9974308,4.298738,4.0512918,4.0828296,3.6644446,4.1838904,3.9293108,4.642263,4.1926292,3.8367838,4.0700534,4.2137101,4.6047926,4.5709612,4.3251308,4.066378,4.0147192,4.2150488,4.0888202,4.1409204,4.2286982,4.1180828,4.1166482
SLA2,4.3565498,4.4072128,4.1160564,4.0219824,3.9448992,4.7106146,4.2437886,4.2616224,4.7222884,4.0952844,4.5635052,3.8567822,4.189389,4.733322,4.8415462,4.4920424,4.1715464,4.131407,4.4288026,4.4855312,4.247257,3.8234514,4.188058,3.8393508
ZNF540,4.0065096,4.2028428,4.026251,4.2521554,4.2517368,4.1281216,4.4380706,4.3098872,4.4886338,4.4272302,3.9479464,4.236802,4.3646266,4.8908054,4.5741566,4.1008766,4.1590356,4.0128878,4.3145524,4.3035658,4.3659104,4.3271156,4.1489724,4.0583726
FAIM3,4.3525368,3.9555124,4.307222,4.0440782,3.8647884,3.9329012,4.1378972,4.1068662,4.6012954,3.9821752,4.0560592,3.906319,4.3734466,5.663547,5.487792,4.581685,4.1507674,4.057462,3.7431534,4.0363656,3.8465996,4.0837168,4.068154,4.1143222
GPR132,4.0868546,3.7488134,3.9181226,4.18885,3.7520316,3.9687134,3.8858553,4.1467616,4.5179282,4.1789386,4.0523768,4.0761064,4.0107934,5.4359364,4.4624818,4.0948244,4.3801104,4.3459466,3.9749708,3.9825802,4.373566,3.9937786,3.843867,4.0215342
SLC25A45,3.9448992,4.1795462,4.1908956,4.2770732,4.2301304,4.2138168,4.3279976,4.3810072,4.4644846,4.1953054,4.000316,4.0777756,4.1756514,4.78796,4.0821352,4.173743,4.1878728,4.0143714,4.348046,4.1276636,4.0374202,4.3156012,4.2717798,4.2823448
HLA-L,4.1784024,4.0158276,4.0771242,4.1440924,3.9903644,4.2268754,4.1918286,4.0878984,4.4806718,4.2170944,4.0931482,4.2511416,4.0720456,4.3227902,4.3107216,4.277294,4.2786778,4.272582,4.1548688,4.0867018,4.1864442,4.0888202,3.9516892,4.152998
PATL2,3.9330746,4.4043688,4.0791732,3.9802196,4.0170604,4.2910086,4.3328902,4.2483904,4.4538298,4.1539522,3.7105404,3.8961386,4.591883,6.6286532,5.2964054,4.4008832,3.8855316,4.1072088,4.0465356,3.9223834,4.0744028,4.481381,4.1930786,4.0545928
SIDT1,3.7559616,3.436096,3.9975816,3.6970828,3.6823676,4.3171192,4.2219124,4.6430058,5.1293958,3.81891,3.689981,3.7505715,4.188058,5.6934836,5.1870018,4.7470688,3.8825252,3.966933,4.06531,4.2292476,3.6437974,4.0208536,3.9862554,4.4246262
OASL,3.9586054,4.0001598,4.2858386,4.4281794,4.1838008,3.8336632,4.1014018,4.189389,4.6602618,4.0977434,4.0142108,4.129675,4.0995906,4.348046,4.3263804,4.9292418,4.0362352,3.8686244,4.2002276,4.0960354,4.142563,4.0786992,4.5163624,4.160556
JAK3,3.7331894,3.687842,4.0803274,4.200811,3.882384,4.0997416,3.7696958,3.9162228,4.399589,3.7233932,3.8134842,4.0008094,4.0243294,4.8560382,4.5722114,4.3795746,3.9271142,4.1229998,3.9317694,3.9953502,4.1300582,3.9920376,3.8622932,3.7487084
RRM2,4.1760448,3.7329088,4.0355842,4.5635052,3.9718852,4.4434092,4.220551,3.8831507,4.3931286,3.8943556,4.1043896,3.9198624,3.8315692,4.8739142,4.4829596,4.174742,4.23763,4.0041284,4.1228134,3.9587776,4.144668,4.1631414,3.8723742,4.2313866
1-Sep,3.8309066,4.0246892,4.1347682,4.2800516,3.8915756,3.9072904,4.1780022,3.8147486,5.5677806,4.1766284,3.7259894,3.8940158,4.248012,6.3574822,5.585201,4.4061592,4.056953,3.7792648,4.0830004,4.0011068,3.9602588,4.1511164,4.0793198,4.377095
IL21R,3.9969948,4.1762322,4.067474,3.940262,3.890823,4.1326992,4.2963912,4.0442272,4.3283902,4.0113972,4.2070524,4.1087312,4.1594004,4.5072142,4.5335758,4.5676348,4.0240362,4.0208536,3.9755396,4.2277454,4.134918,4.02642,4.1148042,3.9843194
CYB561D1,4.0169026,3.8154138,4.2581012,3.9546724,3.8978084,3.8992902,4.2136034,3.9338102,4.3555967,4.2127604,3.7853078,4.0571256,4.3098872,4.4316628,4.0450798,4.0932826,3.9573114,4.063818,4.208033,4.2217352,4.0042854,4.169469,4.0531392,4.0093274
FCRL6,3.7516072,3.7045836,4.3039816,3.6165146,3.7915314,4.995172,4.908574,4.0590242,6.610283,4.4987452,3.7884862,3.650848,4.4112688,6.7089876,4.1581384,4.030804,3.8967054,3.8366354,4.2887348,3.8812592,3.7916588,3.8855316,4.1047356,3.895581
DENND1C,3.8200524,3.776494,4.116276,4.2750956,3.9717518,3.9247814,4.091855,4.0290136,4.4482222,3.956521,3.838947,4.1575554,4.2549828,5.0026066,4.4094738,4.0567474,3.972479,3.9968528,4.1347682,3.9013638,3.964149,3.984603,3.9708814,4.0934458
CMC1,4.2301304,4.233147,4.3626868,3.9627574,4.147498,4.3534416,3.9889306,3.8679204,4.0801476,4.134918,3.9951958,4.105317,4.3035658,4.6758524,4.2811892,4.0851676,3.8964352,3.8106116,4.1946814,4.0189326,4.0178934,4.0592074,4.041625,4.0616898
ICOS,4.1306664,3.9862554,4.622348,4.0600176,4.1439086,3.906319,3.90673,4.2564314,5.1628808,4.060353,3.985022,3.918438,4.0806808,4.9719538,4.3448214,5.8414149,3.9987726,3.9721828,4.6797808,3.9961412,4.066378,4.0752889,4.6247134,4.2103932
DISC1,4.068154,3.8266862,4.1813458,4.4824456,4.2108594,4.2316024,4.0790166,4.0296803,4.1284826,4.184694,4.02102,4.0595576,4.083512,4.6817044,4.1487088,4.1471422,4.117991,4.0425964,4.0499126,4.0277832,3.9864034,4.2213646,3.980683,4.167152
RTN4IP1,3.7596112,4.0411134,4.0393516,3.9543654,4.085929,3.6960602,3.9690404,3.7972414,4.2197832,3.9070174,4.02983,4.197277,4.0532844,4.3448214,4.4127004,4.0158276,3.6815226,3.9281576,4.1461734,4.2527606,4.0466922,4.2748974,4.0590242,4.420458
IL2RB,3.9239554,3.685625,4.4955756,3.9445822,3.9352938,4.0876064,4.5426296,4.1626496,4.559368,4.0396728,3.9040618,3.911285,4.0246892,5.194656,4.298738,4.5942228,3.9900116,4.055189,4.3403062,3.6489884,4.1515196,3.5538105,3.9025694,4.7423456
LCK,4.1423174,3.9133054,4.184694,3.8148446,3.8902496,4.0401854,4.15705,4.0731586,4.8268446,4.137752,3.7599592,3.928611,4.163606,5.5654038,4.6511486,4.4562622,4.1268948,3.8511204,4.151861,4.1778154,3.8513638,3.9784892,4.0529896,4.0911666
P2RY10,4.145339,4.004597,4.0246892,4.092363,4.1124994,3.9108044,4.0636672,3.9028282,4.6508606,3.9856588,3.9173806,3.7396876,4.3160112,5.4219214,5.2225068,4.9999154,4.0546706,3.9718852,3.9379354,3.8348938,3.8372993,4.0689268,3.8601608,3.9155142
SAMD3,4.1289762,3.8843498,4.219615,3.8357278,3.7986616,4.1815608,4.7074008,4.102438,5.1899048,4.3621544,4.0424436,3.796934,4.3448214,6.9160402,4.2750956,4.1319586,4.0099768,3.750007,4.0422618,3.9176242,4.064212,4.0103222,3.912511,4.3195402
RNA5SP92,4.282524,4.3145524,4.161082,4.2207586,4.1500904,4.142563,4.2534222,4.1021006,3.9022614,4.2587574,4.41691,4.0401854,4.0385648,3.907836,4.0531392,4.178547,4.1371846,4.2833462,4.1003812,4.1650258,4.1208814,4.2183814,3.8837272,4.2301304
PDCD1,4.2004096,4.158324,3.9013638,4.1111146,4.0976042,3.9908716,4.1150314,4.023203,4.1768622,3.9322022,4.1219476,3.7630566,4.0324814,4.4469878,4.1494916,4.2372222,4.2651212,4.1807612,3.8618542,4.0761064,4.0731586,4.0851676,3.9535796,4.113479
CD244,3.7616504,3.6877264,4.265322,3.687113,3.649477,3.8558384,4.3323964,3.8430938,5.7164508,4.0518386,3.4907512,3.5373992,4.3221608,5.8296356,3.7206766,3.961058,3.9257354,3.8471596,4.782951,4.0024192,3.7594848,3.8043958,3.8329342,4.2600366
CLEC10A,3.8938313,3.6998804,4.3257354,4.0249782,4.0221262,3.8458408,3.7424274,3.947792,4.376903,4.8551902,3.9325056,3.8358448,3.9434396,5.2658774,3.8518032,4.16859,4.169469,3.9182862,4.1450162,3.9040618,3.90508,4.1681488,4.0395958,4.1968722
HENMT1,3.7361804,3.675134,4.5770964,4.0008094,4.1910964,4.0086986,4.1286606,3.8107176,4.4719328,3.9492094,3.7699886,3.7370414,3.8212302,4.9433104,4.2651212,3.9181226,3.906319,3.6542264,4.3457056,4.0908722,4.0993792,4.0146302,4.020019,4.1289762
TCF7,3.9839216,4.0147192,4.1261714,3.9729492,4.1251958,3.8331816,4.2521554,4.2261636,4.1890252,4.1117834,4.0899686,3.7964778,4.1427302,4.5717298,4.3545152,4.132149,4.0806808,4.111959,3.987141,4.252352,3.8468092,4.1444902,3.9729492,4.2943114
GRAMD1B,3.7228696,3.8725138,4.0794049,4.0750252,4.1476804,4.0161298,3.7060096,4.1457956,4.1268948,4.1200986,3.7858318,3.9793605,4.313492,4.5944664,4.1291504,3.9874688,4.4985614,4.0305052,3.9781602,3.9906856,4.1375644,4.1937516,4.2121276,3.777244
EOMES,4.0079366,4.2746624,4.1568744,3.8268004,3.7079644,4.772957,4.1261714,4.0403496,4.365684,4.1411128,4.1962896,3.8222896,4.0798006,6.0292878,4.3688739,4.0722438,4.1030666,3.9723184,3.9989108,4.1326992,3.971384,3.955094,3.9298812,4.1304778
TNIP3,3.682147,3.7769882,3.460017,3.5597278,3.7177936,3.9182862,3.3571014,3.8061232,4.3310678,3.7155268,3.719791,3.6699536,3.795627,4.6549328,4.6926092,4.1375644,4.9719538,3.2313788,3.9613501,3.837245,4.0041284,3.3927,4.4268224,4.1471422
KIAA0101,4.000492,3.8130342,4.1002122,3.7200278,3.8901176,3.7862154,3.9064576,3.8366354,4.1286606,3.8699052,3.5888412,3.7749882,3.7079644,4.3487998,3.7348323,3.8414316,4.0264932,3.8089856,3.7505288,3.960981,3.9623152,4.1251958,3.8580974,4.1594004
PCED1B,3.9864034,3.9134334,4.172441,3.8806034,3.99984,3.912375,4.3937868,4.0523768,4.1834564,3.96888,3.7297,4.169285,3.9139258,4.9776476,4.4427496,4.0350636,3.9099202,3.9265038,4.223507,4.0931482,3.9442594,4.1581384,3.9682776,3.987535
JMJD4,3.9043016,4.0288614,4.3352502,4.0362352,3.9509568,4.0253002,3.9181226,3.681789,3.9087302,3.7730996,3.9634988,3.924362,4.0761064,4.3567686,4.0360954,3.9229016,3.7666728,3.726327,4.165707,4.2360034,3.7993534,4.07347,4.116276,3.9218018
CD72,3.8861574,4.1014018,4.1221228,4.3065568,3.7733032,3.7696262,3.9289714,4.1143222,4.3341328,3.860992,3.9654848,4.0009426,3.9786356,5.0749138,4.1205094,4.1900898,4.1502198,4.1437516,3.8244232,3.9438704,4.2177688,4.1790962,4.0944656,3.7979866
MSC,3.7099104,4.0808618,4.1136606,3.8674124,3.7066334,3.7942884,3.6772252,3.9479464,4.256216,3.9937786,3.8263448,3.735093,3.7952978,4.7661154,4.4390656,4.5158036,4.2219124,3.7154232,3.9246654,3.7729664,3.853722,3.827565,4.1028438,3.841794
C1orf131,3.872259,4.16859,3.9811034,4.0987044,4.0114971,4.0422618,3.8606464,3.9860844,4.0588862,3.954424,3.9606514,3.814456,4.0396728,4.3699864,4.500926,3.663082,3.8731778,3.9524738,3.9474742,4.054843,4.0069164,4.1520494,3.9239554,4.0968576
ZC3H12D,3.891707,3.7888142,3.9844738,4.1392996,4.0409526,4.015676,4.0444424,4.2117562,4.106703,3.9681322,3.9569896,3.9068778,3.9823036,4.4792916,4.1964774,4.2002276,3.9167477,3.935566,3.9447662,3.9389152,3.9963036,4.0215342,3.8344076,3.8575702
EFCAB4B,4.1581384,3.8933344,4.2068894,3.8378206,3.946191,3.9802196,4.2050708,3.9059382,3.8679204,3.9762928,4.1289762,3.8790342,3.717342,4.6105296,4.5442716,4.2618792,3.7584932,4.1706908,4.0755764,4.2183814,3.9564006,4.013506,3.9700778,3.7580546
PGBD4,4.0197186,3.7782116,3.8947217,3.904576,4.020207,4.180343,3.8603954,3.9480934,4.2854668,4.19285,3.842546,3.977283,4.013341,4.1364228,4.0958798,3.9720342,3.9862554,3.8227854,3.9134334,4.0009426,3.8565384,3.9236022,3.831211,4.0024192
TESPA1,3.810232,3.7287456,3.8057904,3.907836,4.185867,3.8825252,3.941537,3.8163266,4.6699526,4.0981576,3.9534678,3.8495876,4.1114514,4.4290298,3.924082,4.0969298,4.060353,4.2398056,3.9853406,3.8141248,3.8243262,4.352321,3.8136996,3.8111698
IL12RB1,3.6917194,3.9779764,4.0031422,3.7560604,3.7498038,3.9291314,4.10779,3.9013638,4.8083278,3.8420759,3.796583,3.9644582,3.8490906,4.6594858,4.3648546,4.0857442,4.0504444,3.871309,3.9556336,3.8394746,3.8703601,4.0329908,4.083512,3.8291848
LTB4R,3.7785533,3.9615848,3.937461,3.8252332,3.8240976,4.077931,4.029325,3.8056926,3.9761118,3.8535658,3.7529782,4.013506,3.9385026,4.2941188,3.860992,3.9070174,3.9715124,3.9250562,4.0012962,3.9425462,3.845954,3.9198624,4.0090086,3.8471596
APOBEC3G,3.9329012,3.8633622,4.0009426,4.110536,3.8562298,3.6643342,4.44234,4.1906696,4.9321948,3.9382058,3.919334,3.9159408,4.0433204,5.5537144,4.269453,4.0622639,3.6004236,3.9646114,4.0949612,3.9586054,3.6885748,4.151861,3.7791474,3.718453
PSTPIP1,3.8214754,3.4208186,3.9271142,3.7632616,4.0014626,3.9361796,3.7104482,4.1059752,4.0401854,3.981511,3.8344076,3.7997818,3.8070244,4.7256844,3.9946698,3.8797992,3.8324606,3.7983332,3.8665136,3.9143606,3.8154138,4.0442272,3.8938912,3.7915314
IKBKE,3.6715362,3.7816378,3.971384,3.686703,3.8028128,3.9418948,3.7002568,3.8240976,4.0685564,4.0407782,3.6642164,3.7737018,3.8008882,4.346417,4.2603242,4.1099032,3.8084792,3.8689,3.9330746,3.9343858,3.9620652,4.0165998,4.0331482,3.7236762
CD247,3.8503852,3.5649865,4.0047694,3.7968292,3.6662768,3.9565741,4.7065706,4.1494916,5.3371984,3.9024202,3.8686244,3.7392804,3.842546,5.450054,4.266631,4.07949,3.9561178,3.8606464,4.0233578,3.9710472,4.0063832,3.9072904,3.7064592,3.874473
BBS12,3.727967,3.8811472,3.6304944,4.1631414,3.7033332,3.9456522,3.7778646,3.7085536,4.054843,3.9169846,3.8117982,3.7972414,4.0039362,4.4230202,3.8573012,3.6890482,4.1714098,3.7823962,3.9467214,4.1136606,3.9349323,3.9736824,3.7775466,3.9561178
ZAP70,3.6412674,3.5941758,4.230558,4.0309928,3.7490766,3.8313438,4.1245308,3.7682514,4.6839094,3.9980882,3.6890482,3.7804192,3.9898482,5.2109642,4.1716904,4.113302,3.822033,3.6489518,3.8462334,3.8611554,3.8401162,4.0105334,3.8084792,3.9198624
NELL2,3.7741172,3.4635722,3.9289714,3.6685442,3.7368348,3.5225576,3.6538462,4.2902222,3.4924046,3.6524086,4.018214,3.8655616,3.6873528,6.1040288,5.5461214,3.8521792,3.7752186,4.0375672,3.2732604,3.911601,3.5525384,4.4949782,4.6997824,4.1006986
DUSP2,4.4887628,3.7371546,4.038068,4.9074434,3.7251426,4.1628308,4.0607166,4.0360954,4.1129006,3.7048078,3.8148885,3.6152717,3.9564006,5.3258412,4.5846406,4.2509662,3.8180866,3.822556,3.5696542,4.0828296,3.8476816,3.9624774,3.8841982,3.8243747
LY9,3.7802022,3.6078976,3.945323,4.0872176,3.7858318,3.759877,3.8901176,3.8092566,4.5834166,4.0238376,3.6598476,3.6115802,3.9247814,5.3993959,5.8926326,4.4194952,4.0031422,3.7082512,3.8124512,3.6915091,3.7002568,3.955792,3.7665022,3.9166722
